reception_ts,container_id,sample_id,sender_ts,latency(ms)
1505938553636,pub-t1-isisws-100,11,1505938553626,10
1505938553647,pub-t1-isisws-100,12,1505938553643,4
1505938553647,pub-t1-isisws-100,13,1505938553643,4
1505938553656,pub-t1-isisws-100,14,1505938553653,3
1505938553658,pub-t1-isisws-100,15,1505938553656,2
1505938553672,pub-t1-isisws-100,16,1505938553670,2
1505938553700,pub-t1-isisws-100,17,1505938553697,3
1505938553710,pub-t1-isisws-100,18,1505938553707,3
1505938553743,pub-t1-isisws-100,19,1505938553740,3
1505938553752,pub-t1-isisws-100,20,1505938553749,3
1505938553753,pub-t1-isisws-100,21,1505938553750,3
1505938553778,pub-t1-isisws-100,22,1505938553775,3
1505938553780,pub-t1-isisws-100,23,1505938553777,3
1505938553785,pub-t1-isisws-100,24,1505938553783,2
1505938553809,pub-t1-isisws-100,25,1505938553806,3
1505938553819,pub-t1-isisws-100,26,1505938553815,4
1505938553819,pub-t1-isisws-100,27,1505938553816,3
1505938553826,pub-t1-isisws-100,28,1505938553824,2
1505938553844,pub-t1-isisws-100,29,1505938553841,3
1505938553844,pub-t1-isisws-100,30,1505938553841,3
1505938553851,pub-t1-isisws-100,31,1505938553848,3
1505938553851,pub-t1-isisws-100,32,1505938553849,2
1505938553873,pub-t1-isisws-100,33,1505938553871,2
1505938553874,pub-t1-isisws-100,34,1505938553871,3
1505938553877,pub-t1-isisws-100,35,1505938553875,2
1505938553885,pub-t1-isisws-100,36,1505938553882,3
1505938553909,pub-t1-isisws-100,37,1505938553907,2
1505938553910,pub-t1-isisws-100,38,1505938553907,3
1505938553910,pub-t1-isisws-100,39,1505938553908,2
1505938553930,pub-t1-isisws-100,40,1505938553927,3
1505938553939,pub-t1-isisws-100,41,1505938553937,2
1505938553962,pub-t1-isisws-100,42,1505938553959,3
1505938554011,pub-t1-isisws-100,43,1505938554008,3
1505938554021,pub-t1-isisws-100,44,1505938554019,2
1505938554045,pub-t1-isisws-100,45,1505938554043,2
1505938554054,pub-t1-isisws-100,46,1505938554052,2
1505938554066,pub-t1-isisws-100,47,1505938554063,3
1505938554066,pub-t1-isisws-100,48,1505938554063,3
1505938554070,pub-t1-isisws-100,49,1505938554068,2
1505938554072,pub-t1-isisws-100,50,1505938554070,2
1505938554094,pub-t1-isisws-100,51,1505938554092,2
1505938554095,pub-t1-isisws-100,52,1505938554092,3
1505938554103,pub-t1-isisws-100,53,1505938554100,3
1505938554112,pub-t1-isisws-100,54,1505938554110,2
1505938554113,pub-t1-isisws-100,55,1505938554111,2
1505938554129,pub-t1-isisws-100,56,1505938554127,2
1505938554139,pub-t1-isisws-100,57,1505938554137,2
1505938554149,pub-t1-isisws-100,58,1505938554147,2
1505938554165,pub-t1-isisws-100,59,1505938554163,2
1505938554170,pub-t1-isisws-100,60,1505938554168,2
1505938554188,pub-t1-isisws-100,61,1505938554186,2
1505938554188,pub-t1-isisws-100,62,1505938554186,2
1505938554193,pub-t1-isisws-100,63,1505938554191,2
1505938554194,pub-t1-isisws-100,64,1505938554192,2
1505938554197,pub-t1-isisws-100,65,1505938554195,2
1505938554223,pub-t1-isisws-100,66,1505938554221,2
