#pub,#sub,90th_percentile_latency(ms),average_latency(ms)
10,5,20.000000,5.469900
10,10,24.000000,7.779617
10,15,25.000000,9.048856
10,20,26.000000,9.689450
10,25,26.000000,10.909700
10,30,27.000000,11.671072
10,35,27.000000,12.219167
10,40,28.000000,13.577617
10,45,28.000000,13.454222
10,50,29.000000,14.787713
10,55,30.000000,15.385652
10,60,30.000000,15.891811
10,65,30.000000,16.048828
10,70,31.000000,16.588779
10,75,31.000000,17.054038
10,80,32.000000,18.025060
10,85,32.000000,17.964631
10,90,33.000000,19.221865
10,95,34.000000,20.174172
10,100,34.000000,20.633032
10,105,34.000000,20.569322
10,110,36.000000,22.225889
10,115,36.000000,22.146657
10,120,36.000000,23.112210
10,125,37.000000,23.642239
10,130,39.000000,24.040033
10,135,39.000000,25.235702
10,140,40.000000,25.233462
10,145,41.000000,26.420826
10,150,41.000000,27.024810
10,155,43.000000,27.883943
10,160,44.000000,28.626648
10,165,44.000000,29.208449
10,170,46.000000,29.912795
10,175,48.000000,31.597857
10,180,49.000000,32.451636
10,185,52.000000,33.767149
10,190,52.000000,33.479186
10,195,54.000000,34.980465
10,200,55.000000,35.982372
10,205,57.000000,36.365638
10,210,63.000000,39.778794
10,215,61.000000,38.811514
10,220,75.000000,44.419594
10,225,75.000000,44.419830
10,230,74.000000,44.917834
10,235,82.000000,48.664643
10,240,99.000000,55.995903
10,245,114.000000,63.937710
10,250,215.000000,100.031497
9,5,20.000000,5.153037
9,10,23.000000,7.083333
9,15,24.000000,8.019000
9,20,25.000000,9.623722
9,25,26.000000,10.106296
9,30,27.000000,11.710253
9,35,27.000000,12.228476
9,40,28.000000,13.055278
9,45,28.000000,13.445827
9,50,29.000000,14.195556
9,55,29.000000,14.892199
9,60,29.000000,15.179475
9,65,30.000000,15.743556
9,70,31.000000,16.731455
9,75,30.000000,16.450422
9,80,31.000000,17.120021
9,85,32.000000,17.781479
9,90,33.000000,18.802537
9,95,33.000000,19.021729
9,100,33.000000,19.527654
9,105,34.000000,20.301591
